species,behaviour,behaviour.simple,spider.guilds,spider.specialism,hosts_webs,host_vert_stratification,hosts_activity,head_width,ommatidia,eye_sa,trichodea,basiconica,chaetica,placodea,coeloconica,ampullacea
Agenioideus_humilis_BBX734,"7:VPTIOC, IVPTOC",Non-kleptoparasite,"13:Other hunters, sensing web weavers, ambush hunters, orb web weavers",Generalist,Webs,Ground and vegetation,Diurnal and nocturnal,1.72,18.53,1.45,21785.4,703.04,507.92,2581.43,133.63,75.03
Ammosphex_anomalus_BBX728,2:VPTIOC,Non-kleptoparasite,"9:Ground hunters, other hunters, ambush hunters",Generalist,No webs,Ground and vegetation,Diurnal and nocturnal,1.66,15.64,0.88,29769.25,1178.97,1023.88,2069.29,30.42,30.42
Anoplius_fulgidus_BBX750,3:VPTOC,Non-kleptoparasite,"4:Ground hunters, sheet web weavers",Generalist,Webs,Ground and vegetation,Diurnal and nocturnal,1.86,22.6,2.57,16341.1,453.22,401.77,1843.72,101.09,83.68
Arachnophroctonus_apiculatus_BBX757,4:VPTIOC,Non-kleptoparasite,"4:Ground hunters, sheet web weavers",Generalist,Webs,Ground and vegetation,Diurnal and nocturnal,1.97,16.01,1.15,19166.04,283.16,419.5,2354,75.25,130.81
Aporinellus_taeniatus_BBX738,4:VPTIOC,Non-kleptoparasite,"10:Other hunters, ambush hunters",Generalist,No webs,Ground and vegetation,Diurnal and nocturnal,1.21,12.46,0.58,23992.87,956.93,911.71,1723.57,258.95,1075.78
Aporus_hirsutus_BBX724,2:VPOC,Non-kleptoparasite,7:Sensing web weavers,Specialist,Webs,Ground and vegetation,Nocturnal,1.38,14.87,0.76,23040.5,1687.41,1287.85,3837.36,139.87,296.86
Arachnophroctonus_americanus_BBX755,"5:VPTOC, VPTIOC",Non-kleptoparasite,"4:Ground hunters, sheet web weavers",Generalist,Webs,Ground and vegetation,Diurnal and nocturnal,2.2,18.3,2.46,28621.91,829.33,690.61,2468.89,46.5,46.5
Anoplochares_apiculatus_BBX729,2:VPOC,Non-kleptoparasite,1:Ground hunters,Specialist,No webs,Ground,Diurnal and nocturnal,1.64,16.53,1.58,16779.84,1054.21,889.64,1580.42,35.92,868.76
Arachnospila_scelestus_BBX727,"7:VPTIOC, IVPTOC",Non-kleptoparasite,"2:Ground hunters, other hunters",Generalist,No webs,Ground and vegetation,Diurnal and nocturnal,2.94,17.67,2.84,19014.01,1280.1,776.23,1352.15,69.59,660.52
Aridestus_bergi_BBX759,8:V'IOC,Kleptoparasite,15:Cleptoparasites,Specialist,Cleptoparasite,Cleptoparasite,Cleptoparasite,1.84,15.85,1.62,23048.19,1095.14,764.45,2335.57,74.36,571.3
Episyron_conterminus_BBX741,4:VPTIOC,Non-kleptoparasite,11:Orb web weavers,Specialist,Webs,Vegetation,Diurnal and nocturnal,2.25,17.15,1.37,15572.48,406.65,339.36,2448.83,204.79,134.57
Evagetes_padrinus_BBX745,8:V'IOC,Kleptoparasite,15:Cleptoparasites,Specialist,Cleptoparasite,Cleptoparasite,Cleptoparasite,1.6,15.66,1.1,19171.7,429.48,429.48,1835.56,89.95,62.26
Gymnochares_birkmanni_BBX736,6:IVPTOC,Non-kleptoparasite,"2:Ground hunters, other hunters",Generalist,No webs,Ground and vegetation,Diurnal and nocturnal,1.59,18.59,1.66,26698.76,956.25,2138.08,3916.58,456.65,1814.13
Lophopompilus_cleora_BBX747,3:VPTOC,Non-kleptoparasite,1:Ground hunters,Specialist,No webs,Ground,Diurnal and nocturnal,3.33,23.01,5.26,16182.75,238.05,238.05,1613.27,69.54,418.59
Notiochares_amethystinus_BBX748,3:VPTOC,Non-kleptoparasite,"2:Ground hunters, other hunters",Generalist,No webs,Ground and vegetation,Diurnal and nocturnal,3.26,19.11,4.15,18058.15,173,219.29,1095.66,23.18,138.87
Paracyphononyx_funereus_BBX763,1:VPO,Non-kleptoparasite,"2:Ground hunters, other hunters",Generalist,No webs,Ground and vegetation,Diurnal and nocturnal,3.14,26.56,4.29,19925.74,618.64,727,1669.61,57.18,449.7
Perissopompilus_phoenix_BBX731,4:VPTIOC,Non-kleptoparasite,8:Ambush hunters,Specialist,No webs,Ground and vegetation,Diurnal and nocturnal,1.79,20.14,1.91,83501.22,2469,1273.1,3250.77,193.01,419.87
Poecilopompilus_algidus_BBX742,4:VPTIOC,Non-kleptoparasite,11:Orb web weavers,Specialist,Webs,Vegetation,Diurnal and nocturnal,3.87,22.34,6.12,32358,548.62,486.77,3536.74,0,0
Pompilinus_marginatus_BBX758,4:VPTIOC,Non-kleptoparasite,"14:Ground hunters, sheet web weavers, other hunters, ambush hunters, orb web weavers",Generalist,Webs,Ground and vegetation,Diurnal and nocturnal,1.91,18.08,1.99,23439.03,949.91,984.82,3054.28,112.27,484.6
Pompilus_cinerus_BBX746,4:VPTIOC,Non-kleptoparasite,"5:Ground hunters, other hunters, sheet web weavers",Generalist,Webs,Ground and vegetation,Diurnal and nocturnal,1.91,21.04,1.96,20271.95,365.07,423.78,2421.46,67.32,67.32
Priochilus_regius_BBX722,9:I'VPTOC,Non-kleptoparasite,"12:Other hunters, orb web weavers",Generalist,Webs,Ground and vegetation,Diurnal and nocturnal,2.69,28.18,4.63,17467.79,287.77,316.53,2528.79,67.98,71.65
Psorthaspis_variegata_BBX725,1:VPO,Non-kleptoparasite,7:Sensing web weavers,Specialist,Webs,Ground and vegetation,Nocturnal,2.13,22.35,2.46,27867.61,881.38,570.01,1956.12,57.41,287.06
Ridestus_biedermani_BBX735,6:IVPTOC,Non-kleptoparasite,"6:Space web weavers, sheet web weavers",Generalist,Webs,Ground,Nocturnal,1.98,18.76,1.88,45421.84,568.88,879.41,2051.12,86.12,172.24
Sericopompilus_neotropicalis_BBX721,4:VPTIOC,Non-kleptoparasite,8:Ambush hunters,Specialist,No webs,Ground and vegetation,Diurnal and nocturnal,2.68,18.21,2.26,19556.92,555.45,624.27,1981.28,51.55,467.54
